Sensitivity/LI ASM Replacement Cost Multiplier (*),Sensitivity/LI ASM Capital Cost Multiplier (*),Sensitivity/PV Replacement Cost Multiplier (*),Sensitivity/PV Capital Cost Multiplier (*),Sensitivity/NominalDiscountRate (%),Sensitivity/System Fixed O&M Cost ($),Sensitivity/Capacity Shortage (%),Architecture/PV (kW),Architecture/LI ASM (#),Cost/LCOE ($/kWh),Cost/Operating cost ($/yr),Cost/CAPEX ($),System/Clipped Energy (%)
100,$100,"$1,000","$1,000",3,"$20,000",1,12000.5,40395,$0.099,130275.1,1.60E+07,53.04512
150,$150,"$1,000","$1,000",3,"$20,000",1,12000.5,40395,$0.115,185412.7,1.81E+07,53.04512
200,$200,"$1,000","$1,000",3,"$20,000",1,12000.5,40395,$0.132,240550.3,2.01E+07,53.04512
50,$50,"$1,000","$1,000",3,"$20,000",1,12000.5,40395,$0.082,75137.57,1.40E+07,53.04512
100,$100,"$1,000","$1,000",6,$0,1,12000.5,40395,$0.130,111335.8,1.60E+07,53.04512
150,$150,"$1,000","$1,000",6,$0,1,12000.5,40395,$0.151,167003.8,1.81E+07,53.04512
200,$200,"$1,000","$1,000",6,$0,1,12000.5,40395,$0.172,222671.7,2.01E+07,53.04512
50,$50,"$1,000","$1,000",6,$0,1,12000.5,40395,$0.109,55667.92,1.40E+07,53.04512
100,$100,"$1,000","$1,000",6,"$20,000",1,12000.5,40395,$0.132,131335.8,1.60E+07,53.04512
150,$150,"$1,000","$1,000",6,"$20,000",1,12000.5,40395,$0.153,187003.8,1.81E+07,53.04512
200,$200,"$1,000","$1,000",6,"$20,000",1,12000.5,40395,$0.175,242671.7,2.01E+07,53.04512
50,$50,"$1,000","$1,000",6,"$20,000",1,12000.5,40395,$0.111,75667.91,1.40E+07,53.04512
100,$100,"$1,000","$1,000",3,$0,10,7074.630907,22245,$0.059,60727.08,9299131,25.8105
150,$150,"$1,000","$1,000",3,$0,10,7074.630907,22245,$0.069,91090.63,1.04E+07,25.8105
200,$200,"$1,000","$1,000",3,$0,10,7074.630907,22245,$0.079,121454.2,1.15E+07,25.8105
50,$50,"$1,000","$1,000",3,$0,10,6370.578433,26409,$0.047,36047.23,7691029,17.68393
100,$100,"$1,000","$1,000",3,"$20,000",10,7074.630907,22245,$0.062,80727.09,9299131,25.8105
150,$150,"$1,000","$1,000",3,"$20,000",10,7074.630907,22245,$0.072,111090.6,1.04E+07,25.8105
200,$200,"$1,000","$1,000",3,"$20,000",10,7074.630907,22245,$0.082,141454.2,1.15E+07,25.8105
50,$50,"$1,000","$1,000",3,"$20,000",10,6466.125892,25964,$0.050,55439.83,7764326,18.81828
100,$100,"$1,000","$1,000",6,$0,10,7069.094937,22475,$0.081,61945.11,9316595,25.69173
150,$150,"$1,000","$1,000",6,$0,10,7069.094937,22475,$0.093,92917.67,1.04E+07,25.69173
200,$200,"$1,000","$1,000",6,$0,10,7069.094937,22475,$0.106,123890.2,1.16E+07,25.69173
50,$50,"$1,000","$1,000",6,$0,10,6441.303575,26120,$0.065,35995.69,7747304,18.51422
100,$100,"$1,000","$1,000",6,"$20,000",10,7069.094937,22475,$0.083,81945.12,9316595,25.69173
150,$150,"$1,000","$1,000",6,"$20,000",10,7069.094937,22475,$0.096,112917.7,1.04E+07,25.69173
200,$200,"$1,000","$1,000",6,"$20,000",10,7069.094937,22475,$0.108,143890.2,1.16E+07,25.69173
50,$50,"$1,000","$1,000",6,"$20,000",10,6441.303575,26120,$0.068,55995.69,7747304,18.51422
100,$100,"$1,000","$1,000",3,$0,2,8000.333333,49086,$0.083,134000.9,1.29E+07,30.1396
150,$150,"$1,000","$1,000",3,$0,2,8000.333333,49086,$0.104,201001.3,1.54E+07,30.1396
200,$200,"$1,000","$1,000",3,$0,2,13261.16643,29275,$0.119,159836.8,1.91E+07,57.83272
50,$50,"$1,000","$1,000",3,$0,2,8000.333333,49086,$0.063,67000.44,1.05E+07,30.1396
100,$100,"$1,000","$1,000",3,"$20,000",2,8000.333333,49086,$0.086,154000.9,1.29E+07,30.1396
150,$150,"$1,000","$1,000",3,"$20,000",2,8000.333333,49086,$0.106,221001.3,1.54E+07,30.1396
200,$200,"$1,000","$1,000",3,"$20,000",2,13261.16643,29275,$0.121,179836.8,1.91E+07,57.83272
50,$50,"$1,000","$1,000",3,"$20,000",2,8000.333333,49086,$0.065,87000.44,1.05E+07,30.1396
100,$100,"$1,000","$1,000",6,$0,2,8000.333333,49086,$0.111,135289.8,1.29E+07,30.1396
150,$150,"$1,000","$1,000",6,$0,2,8000.333333,49086,$0.137,202934.7,1.54E+07,30.1396
200,$200,"$1,000","$1,000",6,$0,2,13261.16643,29275,$0.159,161374.3,1.91E+07,57.83272
50,$50,"$1,000","$1,000",6,$0,2,8000.333333,49086,$0.085,67644.89,1.05E+07,30.1396
100,$100,"$1,000","$1,000",6,"$20,000",2,8000.333333,49086,$0.113,155289.8,1.29E+07,30.1396
150,$150,"$1,000","$1,000",6,"$20,000",2,8000.333333,49086,$0.139,222934.7,1.54E+07,30.1396
200,$200,"$1,000","$1,000",6,"$20,000",2,13261.16643,29275,$0.162,181374.3,1.91E+07,57.83272
50,$50,"$1,000","$1,000",6,"$20,000",2,8000.333333,49086,$0.087,87644.89,1.05E+07,30.1396
100,$100,"$1,000","$1,000",3,$0,20,5379.462502,20807,$0.052,56801.46,7460163,9.576801
150,$150,"$1,000","$1,000",3,$0,20,5379.462502,20807,$0.063,85202.19,8500513,9.576801
200,$200,"$1,000","$1,000",3,$0,20,5379.462502,20807,$0.073,113602.9,9540863,9.576801
50,$50,"$1,000","$1,000",3,$0,20,5233.146279,22775,$0.043,31086.97,6371897,7.040356
100,$100,"$1,000","$1,000",3,"$20,000",20,5379.462502,20807,$0.055,76801.45,7460163,9.576801
150,$150,"$1,000","$1,000",3,"$20,000",20,5379.462502,20807,$0.065,105202.2,8500513,9.576801
200,$200,"$1,000","$1,000",3,"$20,000",20,5379.462502,20807,$0.075,133602.9,9540863,9.576801
50,$50,"$1,000","$1,000",3,"$20,000",20,5233.146279,22775,$0.045,51086.97,6371897,7.040356
100,$100,"$1,000","$1,000",6,$0,20,5750.239583,18591,$0.073,68707.91,7609340,14.98051
150,$150,"$1,000","$1,000",6,$0,20,5750.239583,18591,$0.085,103061.9,8538890,14.98051
200,$200,"$1,000","$1,000",6,$0,20,5750.239583,18591,$0.098,137415.8,9468440,14.98051
50,$50,"$1,000","$1,000",6,$0,20,5750.239583,18591,$0.061,34353.95,6679790,14.98051
100,$100,"$1,000","$1,000",6,"$20,000",20,5750.239583,18591,$0.076,88707.91,7609340,14.98051
150,$150,"$1,000","$1,000",6,"$20,000",20,5750.239583,18591,$0.088,123061.9,8538890,14.98051
200,$200,"$1,000","$1,000",6,"$20,000",20,5750.239583,18591,$0.100,157415.8,9468440,14.98051
50,$50,"$1,000","$1,000",6,"$20,000",20,5750.239583,18591,$0.063,54353.95,6679790,14.98051
100,$100,"$1,000","$1,000",3,$0,3,7500.3125,43700,$0.077,119297.5,1.19E+07,26.02524
150,$150,"$1,000","$1,000",3,$0,3,11000.45833,27848,$0.094,114034.2,1.52E+07,49.54478
200,$200,"$1,000","$1,000",3,$0,3,11000.45833,27848,$0.105,152045.7,1.66E+07,49.54478
50,$50,"$1,000","$1,000",3,$0,3,7500.3125,43700,$0.058,59648.77,9685312,26.02524
100,$100,"$1,000","$1,000",3,"$20,000",3,7500.3125,43700,$0.079,139297.5,1.19E+07,26.02524
150,$150,"$1,000","$1,000",3,"$20,000",3,11000.45833,27848,$0.096,134034.2,1.52E+07,49.54478
200,$200,"$1,000","$1,000",3,"$20,000",3,11000.45833,27848,$0.108,172045.7,1.66E+07,49.54478
50,$50,"$1,000","$1,000",3,"$20,000",3,7500.3125,43700,$0.061,79648.77,9685312,26.02524
100,$100,"$1,000","$1,000",6,$0,3,7500.3125,43700,$0.102,120445,1.19E+07,26.02524
150,$150,"$1,000","$1,000",6,$0,3,7500.3125,43700,$0.125,180667.5,1.41E+07,26.02524
200,$200,"$1,000","$1,000",6,$0,3,11000.45833,27848,$0.141,153508.1,1.66E+07,49.54478
50,$50,"$1,000","$1,000",6,$0,3,7500.3125,43700,$0.079,60222.5,9685312,26.02524
100,$100,"$1,000","$1,000",6,"$20,000",3,7500.3125,43700,$0.104,140445,1.19E+07,26.02524
150,$150,"$1,000","$1,000",6,"$20,000",3,7500.3125,43700,$0.128,200667.5,1.41E+07,26.02524
200,$200,"$1,000","$1,000",6,"$20,000",3,11000.45833,27848,$0.143,173508.1,1.66E+07,49.54478
50,$50,"$1,000","$1,000",6,"$20,000",3,7500.3125,43700,$0.081,80222.5,9685312,26.02524
100,$100,"$1,000","$1,000",3,$0,30,4658.727869,19746,$0.051,53905.01,6633328,3.21432
150,$150,"$1,000","$1,000",3,$0,30,4658.727869,19746,$0.061,80857.52,7620628,3.21432
200,$200,"$1,000","$1,000",3,$0,30,4875.920339,17364,$0.070,115136.7,8348721,7.237968
50,$50,"$1,000","$1,000",3,$0,30,4596.114702,20256,$0.041,27648.63,5608915,2.44534
100,$100,"$1,000","$1,000",3,"$20,000",30,4658.727869,19746,$0.054,73905.01,6633328,3.21432
150,$150,"$1,000","$1,000",3,"$20,000",30,4658.727869,19746,$0.064,100857.5,7620628,3.21432
200,$200,"$1,000","$1,000",3,"$20,000",30,4875.920339,17364,$0.073,135136.8,8348721,7.237968
50,$50,"$1,000","$1,000",3,"$20,000",30,4596.114702,20256,$0.043,47648.64,5608915,2.44534
100,$100,"$1,000","$1,000",6,$0,30,4596.114702,20256,$0.069,55829.15,6621715,2.44534
150,$150,"$1,000","$1,000",6,$0,30,4658.727869,19746,$0.081,81635.25,7620628,3.21432
200,$200,"$1,000","$1,000",6,$0,30,4741.489789,18172,$0.091,102416.1,8375890,5.0284
50,$50,"$1,000","$1,000",6,$0,30,4596.114702,20256,$0.055,27914.58,5608915,2.44534
100,$100,"$1,000","$1,000",6,"$20,000",30,4596.114702,20256,$0.071,75829.16,6621715,2.44534
150,$150,"$1,000","$1,000",6,"$20,000",30,4658.727869,19746,$0.084,101635.3,7620628,3.21432
200,$200,"$1,000","$1,000",6,"$20,000",30,4741.489789,18172,$0.094,122416.1,8375890,5.0284
50,$50,"$1,000","$1,000",6,"$20,000",30,4596.114702,20256,$0.058,47914.58,5608915,2.44534
100,$100,"$1,000","$1,000",3,$0,5,9875.411458,23411,$0.073,63910.17,1.22E+07,44.6917
150,$150,"$1,000","$1,000",3,$0,5,9875.411458,23411,$0.083,95865.26,1.34E+07,44.6917
200,$200,"$1,000","$1,000",3,$0,5,9875.411458,23411,$0.093,127820.3,1.46E+07,44.6917
50,$50,"$1,000","$1,000",3,$0,5,9875.411458,23411,$0.063,31955.08,1.10E+07,44.6917
100,$100,"$1,000","$1,000",3,"$20,000",5,9875.411458,23411,$0.076,83910.17,1.22E+07,44.6917
150,$150,"$1,000","$1,000",3,"$20,000",5,9875.411458,23411,$0.086,115865.3,1.34E+07,44.6917
200,$200,"$1,000","$1,000",3,"$20,000",5,9875.411458,23411,$0.096,147820.3,1.46E+07,44.6917
50,$50,"$1,000","$1,000",3,"$20,000",5,9875.411458,23411,$0.066,51955.09,1.10E+07,44.6917
100,$100,"$1,000","$1,000",6,$0,5,9875.411458,23411,$0.100,64524.89,1.22E+07,44.6917
150,$150,"$1,000","$1,000",6,$0,5,9875.411458,23411,$0.112,96787.34,1.34E+07,44.6917
200,$200,"$1,000","$1,000",6,$0,5,9875.411458,23411,$0.125,129049.8,1.46E+07,44.6917
50,$50,"$1,000","$1,000",6,$0,5,9875.411458,23411,$0.087,32262.45,1.10E+07,44.6917
100,$100,"$1,000","$1,000",6,"$20,000",5,9875.411458,23411,$0.102,84524.9,1.22E+07,44.6917
150,$150,"$1,000","$1,000",6,"$20,000",5,9875.411458,23411,$0.115,116787.3,1.34E+07,44.6917
200,$200,"$1,000","$1,000",6,"$20,000",5,9875.411458,23411,$0.127,149049.8,1.46E+07,44.6917
50,$50,"$1,000","$1,000",6,"$20,000",5,9875.411458,23411,$0.089,52262.45,1.10E+07,44.6917
100,$100,$500,$500,3,$0,0,10125.42188,67478,$0.082,184209.6,1.18E+07,43.95562
150,$150,$500,$500,3,$0,0,10125.42188,67478,$0.110,276314.4,1.52E+07,43.95562
200,$200,$500,$500,3,$0,0,10125.42188,67478,$0.138,368419.2,1.86E+07,43.95562
50,$50,$500,$500,3,$0,0,10125.42188,67478,$0.054,92104.79,8436611,43.95562
100,$100,$500,$500,3,"$20,000",0,10125.42188,67478,$0.084,204209.6,1.18E+07,43.95562
150,$150,$500,$500,3,"$20,000",0,10125.42188,67478,$0.112,296314.4,1.52E+07,43.95562
200,$200,$500,$500,3,"$20,000",0,10125.42188,67478,$0.140,388419.2,1.86E+07,43.95562
50,$50,$500,$500,3,"$20,000",0,10125.42188,67478,$0.056,112104.8,8436611,43.95562
100,$100,$500,$500,6,$0,0,10125.42188,67478,$0.107,185981.4,1.18E+07,43.95562
150,$150,$500,$500,6,$0,0,10125.42188,67478,$0.142,278972.1,1.52E+07,43.95562
200,$200,$500,$500,6,$0,0,10125.42188,67478,$0.177,371962.8,1.86E+07,43.95562
50,$50,$500,$500,6,$0,0,10125.42188,67478,$0.072,92990.71,8436611,43.95562
100,$100,$500,$500,6,"$20,000",0,10125.42188,67478,$0.109,205981.4,1.18E+07,43.95562
150,$150,$500,$500,6,"$20,000",0,10125.42188,67478,$0.144,298972.1,1.52E+07,43.95562
200,$200,$500,$500,6,"$20,000",0,10125.42188,67478,$0.179,391962.8,1.86E+07,43.95562
50,$50,$500,$500,6,"$20,000",0,10125.42188,67478,$0.074,112990.7,8436611,43.95562
100,$100,$500,$500,3,$0,1,12000.5,40395,$0.065,110275.1,1.00E+07,53.04512
150,$150,$500,$500,3,$0,1,12000.5,40395,$0.082,165412.7,1.21E+07,53.04512
200,$200,$500,$500,3,$0,1,12000.5,40395,$0.099,220550.3,1.41E+07,53.04512
50,$50,$500,$500,3,$0,1,12000.5,40395,$0.048,55137.57,8020000,53.04512
100,$100,$500,$500,3,"$20,000",1,12000.5,40395,$0.067,130275.1,1.00E+07,53.04512
150,$150,$500,$500,3,"$20,000",1,12000.5,40395,$0.084,185412.7,1.21E+07,53.04512
200,$200,$500,$500,3,"$20,000",1,12000.5,40395,$0.101,240550.3,1.41E+07,53.04512
50,$50,$500,$500,3,"$20,000",1,12000.5,40395,$0.050,75137.57,8020000,53.04512
100,$100,$500,$500,6,$0,1,12000.5,40395,$0.086,111335.8,1.00E+07,53.04512
150,$150,$500,$500,6,$0,1,12000.5,40395,$0.107,167003.8,1.21E+07,53.04512
200,$200,$500,$500,6,$0,1,12000.5,40395,$0.128,222671.7,1.41E+07,53.04512
50,$50,$500,$500,6,$0,1,12000.5,40395,$0.065,55667.92,8020000,53.04512
100,$100,$500,$500,6,"$20,000",1,12000.5,40395,$0.088,131335.8,1.00E+07,53.04512
150,$150,$500,$500,6,"$20,000",1,12000.5,40395,$0.110,187003.8,1.21E+07,53.04512
200,$200,$500,$500,6,"$20,000",1,12000.5,40395,$0.131,242671.7,1.41E+07,53.04512
50,$50,$500,$500,6,"$20,000",1,12000.5,40395,$0.067,75667.91,8020000,53.04512
100,$100,$500,$500,3,$0,10,7074.630907,22245,$0.040,60727.08,5761816,25.8105
150,$150,$500,$500,3,$0,10,7126.109261,21787,$0.050,91962.16,6831105,26.4037
200,$200,$500,$500,3,$0,10,7126.109261,21787,$0.059,122616.2,7920455,26.4037
50,$50,$500,$500,3,$0,10,7074.630907,22245,$0.030,30363.54,4649566,25.8105
100,$100,$500,$500,3,"$20,000",10,7074.630907,22245,$0.042,80727.09,5761816,25.8105
150,$150,$500,$500,3,"$20,000",10,7126.109261,21787,$0.052,111962.2,6831105,26.4037
200,$200,$500,$500,3,"$20,000",10,7126.109261,21787,$0.062,142616.2,7920455,26.4037
50,$50,$500,$500,3,"$20,000",10,7074.630907,22245,$0.032,50363.54,4649566,25.8105
100,$100,$500,$500,6,$0,10,7069.094937,22475,$0.053,61945.11,5782048,25.69173
150,$150,$500,$500,6,$0,10,7069.094937,22475,$0.066,92917.67,6905798,25.69173
200,$200,$500,$500,6,$0,10,7126.109261,21787,$0.077,123535.1,7920455,26.4037
50,$50,$500,$500,6,$0,10,7069.094937,22475,$0.040,30972.56,4658298,25.69173
100,$100,$500,$500,6,"$20,000",10,7069.094937,22475,$0.055,81945.12,5782048,25.69173
150,$150,$500,$500,6,"$20,000",10,7069.094937,22475,$0.068,112917.7,6905798,25.69173
200,$200,$500,$500,6,"$20,000",10,7126.109261,21787,$0.080,143535.1,7920455,26.4037
50,$50,$500,$500,6,"$20,000",10,7069.094937,22475,$0.043,50972.56,4658298,25.69173
100,$100,$500,$500,3,$0,2,13261.16643,29275,$0.059,79918.42,9558083,57.83272
150,$150,$500,$500,3,$0,2,13377.11006,28843,$0.072,118108.6,1.10E+07,58.20908
200,$200,$500,$500,3,$0,2,13377.11006,28843,$0.084,157478.2,1.25E+07,58.20908
50,$50,$500,$500,3,$0,2,8000.333333,49086,$0.042,67000.44,6454467,30.1396
100,$100,$500,$500,3,"$20,000",2,13261.16643,29275,$0.062,99918.42,9558083,57.83272
150,$150,$500,$500,3,"$20,000",2,13377.11006,28843,$0.074,138108.6,1.10E+07,58.20908
200,$200,$500,$500,3,"$20,000",2,13377.11006,28843,$0.086,177478.2,1.25E+07,58.20908
50,$50,$500,$500,3,"$20,000",2,8000.333333,49086,$0.044,87000.44,6454467,30.1396
100,$100,$500,$500,6,$0,2,13261.16643,29275,$0.080,80687.13,9558083,57.83272
150,$150,$500,$500,6,$0,2,13377.11006,28843,$0.095,119244.7,1.10E+07,58.20908
200,$200,$500,$500,6,$0,2,13377.11006,28843,$0.110,158992.9,1.25E+07,58.20908
50,$50,$500,$500,6,$0,2,8000.333333,49086,$0.055,67644.89,6454467,30.1396
100,$100,$500,$500,6,"$20,000",2,13261.16643,29275,$0.082,100687.1,9558083,57.83272
150,$150,$500,$500,6,"$20,000",2,13377.11006,28843,$0.097,139244.7,1.10E+07,58.20908
200,$200,$500,$500,6,"$20,000",2,13377.11006,28843,$0.112,178992.9,1.25E+07,58.20908
50,$50,$500,$500,6,"$20,000",2,8000.333333,49086,$0.058,87644.89,6454467,30.1396
100,$100,$500,$500,3,$0,20,5379.462502,20807,$0.036,56801.46,4770432,9.576801
150,$150,$500,$500,3,$0,20,5435.095985,20432,$0.046,83666.6,5782348,10.37768
200,$200,$500,$500,3,$0,20,5435.095985,20432,$0.056,111555.5,6803948,10.37768
50,$50,$500,$500,3,$0,20,5379.462502,20807,$0.026,28400.73,3730081,9.576801
100,$100,$500,$500,3,"$20,000",20,5379.462502,20807,$0.039,76801.45,4770432,9.576801
150,$150,$500,$500,3,"$20,000",20,5435.095985,20432,$0.049,103666.6,5782348,10.37768
200,$200,$500,$500,3,"$20,000",20,5500.901009,20297,$0.059,134839.9,6809851,11.15061
50,$50,$500,$500,3,"$20,000",20,5379.462502,20807,$0.029,48400.73,3730081,9.576801
100,$100,$500,$500,6,$0,20,5750.239583,18591,$0.049,68707.91,4734220,14.98051
150,$150,$500,$500,6,$0,20,5750.239583,18591,$0.061,103061.9,5663770,14.98051
200,$200,$500,$500,6,$0,20,5750.239583,18591,$0.074,137415.8,6593320,14.98051
50,$50,$500,$500,6,$0,20,5750.239583,18591,$0.037,34353.95,3804670,14.98051
100,$100,$500,$500,6,"$20,000",20,5750.239583,18591,$0.052,88707.91,4734220,14.98051
150,$150,$500,$500,6,"$20,000",20,5750.239583,18591,$0.064,123061.9,5663770,14.98051
200,$200,$500,$500,6,"$20,000",20,5750.239583,18591,$0.076,157415.8,6593320,14.98051
50,$50,$500,$500,6,"$20,000",20,5750.239583,18591,$0.039,54353.95,3804670,14.98051
100,$100,$500,$500,3,$0,3,11000.45833,27848,$0.053,76022.83,8285029,49.54478
150,$150,$500,$500,3,$0,3,13000.54167,23502,$0.064,96237.89,1.00E+07,57.30359
200,$200,$500,$500,3,$0,3,13000.54167,23502,$0.074,128317.2,1.12E+07,57.30359
50,$50,$500,$500,3,$0,3,7500.3125,43700,$0.038,59648.77,5935156,26.02524
100,$100,$500,$500,3,"$20,000",3,11000.45833,27848,$0.055,96022.83,8285029,49.54478
150,$150,$500,$500,3,"$20,000",3,13000.54167,23502,$0.067,116237.9,1.00E+07,57.30359
200,$200,$500,$500,3,"$20,000",3,13000.54167,23502,$0.077,148317.2,1.12E+07,57.30359
50,$50,$500,$500,3,"$20,000",3,7500.3125,43700,$0.041,79648.77,5935156,26.02524
100,$100,$500,$500,6,$0,3,11000.45833,27848,$0.070,76754.06,8285029,49.54478
150,$150,$500,$500,6,$0,3,11000.45833,27848,$0.085,115131.1,9677429,49.54478
200,$200,$500,$500,6,$0,3,13000.54167,23502,$0.098,129551.4,1.12E+07,57.30359
50,$50,$500,$500,6,$0,3,7500.3125,43700,$0.051,60222.5,5935156,26.02524
100,$100,$500,$500,6,"$20,000",3,11000.45833,27848,$0.073,96754.06,8285029,49.54478
150,$150,$500,$500,6,"$20,000",3,11000.45833,27848,$0.088,135131.1,9677429,49.54478
200,$200,$500,$500,6,"$20,000",3,13000.54167,23502,$0.101,149551.4,1.12E+07,57.30359
50,$50,$500,$500,6,"$20,000",3,7500.3125,43700,$0.053,80222.5,5935156,26.02524
100,$100,$500,$500,3,$0,30,4875.920339,17364,$0.035,57568.37,4174360,7.237968
150,$150,$500,$500,3,$0,30,4726.250212,18209,$0.044,75260.24,5094475,4.848958
200,$200,$500,$500,3,$0,30,4726.250212,18209,$0.053,100347,6004925,4.848958
50,$50,$500,$500,3,$0,30,4658.727869,19746,$0.025,26952.51,3316664,3.21432
100,$100,$500,$500,3,"$20,000",30,4875.920339,17364,$0.038,77568.38,4174360,7.237968
150,$150,$500,$500,3,"$20,000",30,4726.250212,18209,$0.047,95260.24,5094475,4.848958
200,$200,$500,$500,3,"$20,000",30,4726.250212,18209,$0.056,120347,6004925,4.848958
50,$50,$500,$500,3,"$20,000",30,4658.727869,19746,$0.028,46952.5,3316664,3.21432
100,$100,$500,$500,6,$0,30,4741.489789,18172,$0.045,51208.07,4187945,5.0284
150,$150,$500,$500,6,$0,30,4730.016374,18339,$0.057,75818.34,5115858,4.774508
200,$200,$500,$500,6,$0,30,4850.716452,17487,$0.070,112751.4,5922758,6.828607
50,$50,$500,$500,6,$0,30,4596.114702,20256,$0.034,27914.58,3310857,2.44534
100,$100,$500,$500,6,"$20,000",30,4741.489789,18172,$0.048,71208.07,4187945,5.0284
150,$150,$500,$500,6,"$20,000",30,4730.016374,18339,$0.060,95818.34,5115858,4.774508
200,$200,$500,$500,6,"$20,000",30,4850.716452,17487,$0.073,132751.4,5922758,6.828607
50,$50,$500,$500,6,"$20,000",30,4596.114702,20256,$0.037,47914.58,3310857,2.44534
100,$100,$500,$500,3,$0,5,9875.411458,23411,$0.047,63910.17,7278806,44.6917
150,$150,$500,$500,3,$0,5,9875.411458,23411,$0.057,95865.26,8449356,44.6917
200,$200,$500,$500,3,$0,5,9875.411458,23411,$0.067,127820.3,9619906,44.6917
50,$50,$500,$500,3,$0,5,9875.411458,23411,$0.037,31955.08,6108256,44.6917
100,$100,$500,$500,3,"$20,000",5,9875.411458,23411,$0.049,83910.17,7278806,44.6917
150,$150,$500,$500,3,"$20,000",5,9875.411458,23411,$0.059,115865.3,8449356,44.6917
200,$200,$500,$500,3,"$20,000",5,9875.411458,23411,$0.069,147820.3,9619906,44.6917
50,$50,$500,$500,3,"$20,000",5,9875.411458,23411,$0.039,51955.09,6108256,44.6917
100,$100,$500,$500,6,$0,5,9875.411458,23411,$0.063,64524.89,7278806,44.6917
150,$150,$500,$500,6,$0,5,9875.411458,23411,$0.075,96787.34,8449356,44.6917
200,$200,$500,$500,6,$0,5,9875.411458,23411,$0.088,129049.8,9619906,44.6917
50,$50,$500,$500,6,$0,5,9875.411458,23411,$0.050,32262.45,6108256,44.6917
100,$100,$500,$500,6,"$20,000",5,9875.411458,23411,$0.065,84524.9,7278806,44.6917
150,$150,$500,$500,6,"$20,000",5,9875.411458,23411,$0.078,116787.3,8449356,44.6917
200,$200,$500,$500,6,"$20,000",5,9875.411458,23411,$0.090,149049.8,9619906,44.6917
50,$50,$500,$500,6,"$20,000",5,9875.411458,23411,$0.052,52262.45,6108256,44.6917
